ITEM CODE,"ITEM NAME 
(BRAND/MODEL)","ASSET NAME
(ASSET DESCRIPTION)"
"Water-Cooled FCU 
(FCU-Showcase-L2-04)","Daikin / FUW020F-6L",FCU-Showcase-L2-04
"Water-Cooled FCU 
(FCU-Server-L2-05)","Daikin / FUW040F-6L",FCU-Server-L2-05
"Water-Cooled FCU 
(FCU-Server-L2-06)","Daikin / FUW040F-6L",FCU-Server-L2-06
"Water-Cooled FCU 
(FCU-CHANGING-L3-01)","Daikin / FUW040F-6L",FCU-CHANGING-L3-01
"Water-Cooled FCU 
(FCU-CHANGING-L4-01)","Daikin / FWW20DAS",FCU-CHANGING-L4-01
"Water-Cooled FCU 
(FCU-DIRECTOR-L5-01)","Daikin / FWW18DAS",FCU-DIRECTOR-L5-01
"Water-Cooled FCU 
(FCU-DIRECTOR-L5-02)","Daikin / FUW060F-6L",FCU-DIRECTOR-L5-02
"Water-Cooled FCU 
(FCU-BOARDROOM-L5-03)","Daikin / FUW060F-6L",FCU-BOARDROOM-L5-03
"Water-Cooled FCU 
(FCU-BOARDROOM-L5-04)","Daikin / FTKM35XVMG",FCU-BOARDROOM-L5-04
"Water-Cooled FCU 
(FCU-PANTRY-L5-05)","Daikin / RKM35TVMM",FCU-PANTRY-L5-05
"Water-Cooled FCU 
(FCU-MEETING-L5-06)","Daikin /  FTKM35XVMG",FCU-MEETING-L5-06
"Water-Cooled FCU 
(FCU-MEETING-L5-07)","Daikin / RKM35TVMM",FCU-MEETING-L5-07
"Water-Cooled FCU 
(FCU-R&D-L5-08)","Daikin / FTKM25XVMG 
",FCU-R&D-L5-08
"Water-Cooled FCU 
(FCU-R&D-L5-09)","Daikin / RKM25TVMM ",FCU-R&D-L5-08
DX-FCU-FCC-1,"Systemair / B 15",FCU-FCC-01
DX CONDENSER-FCC-1,"Systemair / K 160 XL Sileo",CU-FCC-01
DX-FCU-FCC-2,"Systemair / K 160 XL Sileo",FCU-FCC-02
DX CONDENSER-FCC-2,"Systemair / K 160 M Sileo",CU-FCC-02
DX-FCU-GR,"Systemair / CDRE-400",FCU-GR-L1-01
DX CONDENSER-GR,"Systemair / K 200 L Sileo",CU-GR-L1-01
MECHANICAL VENTILATION FAN,"Systemair / K 315 L Sileo",GH - TOILET
MECHANICAL VENTILATION FAN,"Systemair / CORE-400",FAF-FCC-1A
MECHANICAL VENTILATION FAN,"Systemair / CORE-400",FAF-FCC-1B
MECHANICAL VENTILATION FAN,"Systemair/ K 160 M Sileo",FAF-FCC-1C
MECHANICAL VENTILATION FAN,"Systemair / K 100 XL Sileo",EAF-TOILET-L1-01
MECHANICAL VENTILATION FAN,"Systemair / K 100 XL Sileo",FAF-CORRIDOR-L1-01
MECHANICAL VENTILATION FAN,"Systemair/ K 160 M Sileo",EAF-TOILET -L2-01
MECHANICAL VENTILATION FAN,"Systemair / K 160 XL Sileo",EAF-TOILET- L3-01
MECHANICAL VENTILATION FAN,"Systemair / K 315 L Sileo",EAF-TOILET- L4-01
MECHANICAL VENTILATION FAN,"Systemair / K 315 L Sileo",FAF-PALLET LIFTER - L1-01
